sl,language,artist,gender,location,local_song_index,song_name,source,location_id,artist_id,gender_id
237,Khasi and Jayantia,Soulmate,Female,Meghalaya,2,Evalary Khyriem  Sier Lapalang,https://www.youtube.com/watch?v=26MqTvs4Vjo,9,58,0
238,Khasi and Jayantia,Soulmate,Female,Meghalaya,3,Tipriti Kharbangar from Soulmate,https://www.youtube.com/watch?v=bwE6d9dL7SI,9,58,0
239,Khasi and Jayantia,Soulmate,Female,Meghalaya,4,Give love,https://www.youtube.com/watch?v=tUagYxwewcU,9,58,0
240,Khasi and Jayantia,Soulmate,Female,Meghalaya,5,GIVE LOVE ka thup jingrwaialbum thymmai  jong ka kynhun tem,https://www.youtube.com/watch?v=sHNWR5eOJpM,9,58,0
241,Tamil,S. P. Balasubrahmanyam,Male,Tamil Nadu,1,Mannil Intha,https://www.youtube.com/watch?v=yHm8VhgO9p4,15,50,1
242,Tamil,S. P. Balasubrahmanyam,Male,Tamil Nadu,2,Anjali Anjali,https://www.youtube.com/watch?v=bvHKOhV_tfw,15,50,1
243,Tamil,S. P. Balasubrahmanyam,Male,Tamil Nadu,3,En Kadhale,https://www.youtube.com/watch?v=u0CtfXRibAw,15,50,1
244,Tamil,S. P. Balasubrahmanyam,Male,Tamil Nadu,4,En Veetu Thottathil,https://www.youtube.com/watch?v=XBeh7qzRDUE,15,50,1
245,Tamil,S. P. Balasubrahmanyam,Male,Tamil Nadu,5,July Matham Vanthal,https://www.youtube.com/watch?v=btU-pJczpEk,15,50,1
246,Tamil,Hariharan,Male,Tamil Nadu,1,Anbe Anbe,https://www.youtube.com/watch?v=UOHyKC-M-HY,15,21,1
247,Tamil,Hariharan,Male,Tamil Nadu,2,Chandiranai Thottathu Yaar Ratchagan,https://www.youtube.com/watch?v=g-bN-8hLuRA,15,21,1
248,Tamil,Hariharan,Male,Tamil Nadu,3,Ennai Thalatta Varuvala  Kadhalukku Mariyathai Isaignani Ilayaraja,https://www.youtube.com/watch?v=22z0vPE7o0A,15,21,1
249,Tamil,Hariharan,Male,Tamil Nadu,4,Oh Maname,https://www.youtube.com/watch?v=-iNRiHBMak4,15,21,1
250,Tamil,Hariharan,Male,Tamil Nadu,5,Unnai NaanJay Jay Bharathwaj,https://www.youtube.com/watch?v=6ckj9IWvn6Y,15,21,1
251,Tamil,Sistla Janaki,Female,Tamil Nadu,1,Raasave Unnai Vida  Aranamanai Kili,https://www.youtube.com/watch?v=rZS2N8oezpI,15,56,0
252,Tamil,Sistla Janaki,Female,Tamil Nadu,2,Anbe Vaa Arugile,https://www.youtube.com/watch?v=U1RGeMwVcbo,15,56,0
253,Tamil,Sistla Janaki,Female,Tamil Nadu,3,Unnai Naan Ariyen,https://www.youtube.com/watch?v=ftLzLaCYqk8,15,56,0
254,Tamil,Sistla Janaki,Female,Tamil Nadu,4,Aasai athigam vachu,https://www.youtube.com/watch?v=uLkMOLBAO8g,15,56,0
255,Tamil,Sistla Janaki,Female,Tamil Nadu,5,Vanmathi,https://www.youtube.com/watch?v=boGg8sGXs0E,15,56,0
256,Tamil,K. S. Chithra,Female,Tamil Nadu,1,Thooliyile Aada Vantha,https://www.youtube.com/watch?v=jbxM-sw5Pcg,15,27,0
257,Tamil,K. S. Chithra,Female,Tamil Nadu,2,Thai Pongalum Song,https://www.youtube.com/watch?v=XCAWz35ruR8,15,27,0
258,Tamil,K. S. Chithra,Female,Tamil Nadu,3,Vandhathey Oh  Kizhakku Vaasal,https://www.youtube.com/watch?v=W19z9zHJyII,15,27,0
259,Tamil,K. S. Chithra,Female,Tamil Nadu,4,Vanna Poongavanam,https://www.youtube.com/watch?v=8BPq-eTzTis,15,27,0
260,Tamil,K. S. Chithra,Female,Tamil Nadu,5,Enna Marantha Poluthum,https://www.youtube.com/watch?v=IhvAir5nUl4,15,27,0
261,Malayalam,K J Yesudas,Male,Kerala,1,Meenathil Thalikettu,https://www.youtube.com/watch?v=lowbHq2wlGQ,6,26,1
262,Malayalam,K J Yesudas,Male,Kerala,2,En jeevane enganu nee,https://www.youtube.com/watch?v=T2k4UBOj1-Y,6,26,1
263,Malayalam,K J Yesudas,Male,Kerala,3,Ente Ellam Ellam Alle,https://www.youtube.com/watch?v=KfUO9QUWpco,6,26,1
264,Malayalam,K J Yesudas,Male,Kerala,4,Enna Varam Ketpen,https://www.youtube.com/watch?v=V2x9FGmxXM4,6,26,1
265,Malayalam,K J Yesudas,Male,Kerala,5,Ennum Ninne Poojikkam  Aniyathipravu,https://www.youtube.com/watch?v=j45_YRlXZLs,6,26,1
266,Malayalam,Mohanlal,Male,Kerala,1,Ariyathe Ariyathe,https://www.youtube.com/watch?v=vqD_xISL-ik,6,36,1
267,Malayalam,Mohanlal,Male,Kerala,2,Nila Paithale,https://www.youtube.com/watch?v=DPCmoSs-WFI,6,36,1
268,Malayalam,Mohanlal,Male,Kerala,3,Padam Vanamali  Kakkakuyil,https://www.youtube.com/watch?v=_3D8W2PwCfw,6,36,1
269,Malayalam,Mohanlal,Male,Kerala,4,Konji Konji,https://www.youtube.com/watch?v=2gIWZPh_4mc,6,36,1
270,Malayalam,Mohanlal,Male,Kerala,5,Pranayame,https://www.youtube.com/watch?v=DuW_HsbOYv4,6,36,1
271,Malayalam,Sujatha Mohan,Female,Kerala,1,Chakkarakkili,https://www.youtube.com/watch?v=vkGEvlCKqbQ,6,59,0
272,Malayalam,Sujatha Mohan,Female,Kerala,2,Priyane,https://www.youtube.com/watch?v=qmUg8-dQflE,6,59,0
273,Malayalam,Sujatha Mohan,Female,Kerala,3,Kandu Kandu,https://www.youtube.com/watch?v=ekBl7MQaV7E,6,59,0
274,Malayalam,Sujatha Mohan,Female,Kerala,4,Sundarano,https://www.youtube.com/watch?v=1FrgMgEsNxY,6,59,0
275,Malayalam,Sujatha Mohan,Female,Kerala,5,Viral Thottu Vilichenkil,https://www.youtube.com/watch?v=IB-YkQFmZjU,6,59,0
276,Malayalam,Shweta Mohan,Female,Kerala,1,Kayamboo Niramayi Su Su ,https://www.youtube.com/watch?v=VahMFSZYEIU,6,54,0
277,Malayalam,Shweta Mohan,Female,Kerala,2,Chenthamara Chundil,https://www.youtube.com/watch?v=HCjwcYBu5iU,6,54,0
278,Malayalam,Shweta Mohan,Female,Kerala,3,Malayalam Medley Cover,https://www.youtube.com/watch?v=Kp3p3wpik9I,6,54,0
279,Malayalam,Shweta Mohan,Female,Kerala,4,Anuragalola Gatri,https://www.youtube.com/watch?v=qcrtXvA-4mM,6,54,0
280,Malayalam,Shweta Mohan,Female,Kerala,5,Ambala Mutathe,https://www.youtube.com/watch?v=f8Enny6GL5Y,6,54,0
281,Punjabi,Gurdas Maan,Male,Punjab,1,Roti,https://www.youtube.com/watch?v=7li2V6dj4-s,14,19,1
282,Punjabi,Gurdas Maan,Male,Punjab,2,Punjab Song,https://www.youtube.com/watch?v=m60bi4SqQ1U,14,19,1
283,Punjabi,Gurdas Maan,Male,Punjab,3,CHALLA,https://www.youtube.com/watch?v=KFVqtTpYmhY,14,19,1
284,Punjabi,Gurdas Maan,Male,Punjab,4,Lakh Pardesi Hoiye,https://www.youtube.com/watch?v=Ue5eeifYzq0,14,19,1
